dataset,seed,experiment_stage,feature_set,optimization_method,model_family,model_name,classifier,n_features,notes,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_handover,recall_handover,f1_handover,confusion_matrix,tn,fp,fn,tp,dataset_short
D1_ANATEL_UFJF_raw_drive_test_proxy,1,01_raw_flattened_windows,raw_time_windows,none_raw_baseline,classical_ml,Decision_Tree,Decision_Tree,90,,0.8136645962732919,0.8137378881797455,0.8136645962732919,0.8136638833551922,0.8191126279863481,0.8080808080808081,0.8135593220338984,"[[721, 159], [171, 720]]",721,159,171,720,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,1,01_raw_flattened_windows,raw_time_windows,none_raw_baseline,classical_ml,Random_Forest,Random_Forest,90,,0.9130434782608696,0.9141337479874576,0.9130434782608696,0.9129707090210656,0.8932764140875133,0.9393939393939394,0.9157549234135668,"[[780, 100], [54, 837]]",780,100,54,837,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,1,01_raw_flattened_windows,raw_time_windows,none_raw_baseline,classical_ml,SVM,SVM,90,,0.769621682665161,0.7696722291275824,0.769621682665161,0.7696224171868395,0.7741203178206584,0.7654320987654321,0.7697516930022573,"[[681, 199], [209, 682]]",681,199,209,682,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,1,01_raw_flattened_windows,raw_time_windows,none_raw_baseline,classical_ml,KNN,KNN,90,,0.7888198757763976,0.7890675335227209,0.7888198757763976,0.7887463145066834,0.7812840043525572,0.8058361391694725,0.7933701657458564,"[[679, 201], [173, 718]]",679,201,173,718,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,1,01_raw_flattened_windows,raw_time_windows,none_raw_baseline,classical_ml,Logistic_Regression,Logistic_Regression,90,,0.6357989836250706,0.6378332933426921,0.6357989836250706,0.6341078563044499,0.6222664015904572,0.7025813692480359,0.6599894570374275,"[[500, 380], [265, 626]]",500,380,265,626,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,1,02_engineered_flattened_windows,engineered_time_windows,temporal_feature_engineering,classical_ml,Decision_Tree,Decision_Tree,1080,,0.7989836250705816,0.7989840859998342,0.7989836250705816,0.7989797793589036,0.7988826815642458,0.8024691358024691,0.8006718924972005,"[[700, 180], [176, 715]]",700,180,176,715,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,1,02_engineered_flattened_windows,engineered_time_windows,temporal_feature_engineering,classical_ml,Random_Forest,Random_Forest,1080,,0.9136081309994354,0.9145602539802036,0.9136081309994354,0.9135441130261244,0.8950749464668094,0.9382716049382716,0.916164383561644,"[[782, 98], [55, 836]]",782,98,55,836,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,1,02_engineered_flattened_windows,engineered_time_windows,temporal_feature_engineering,classical_ml,SVM,SVM,1080,,0.7763975155279503,0.7764326230523483,0.7763975155279503,0.7763992265357538,0.7802944507361268,0.7732884399551067,0.7767756482525366,"[[686, 194], [202, 689]]",686,194,202,689,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,1,02_engineered_flattened_windows,engineered_time_windows,temporal_feature_engineering,classical_ml,KNN,KNN,1080,,0.792772444946358,0.793531596378238,0.792772444946358,0.7925921422231641,0.779317697228145,0.8204264870931538,0.7993439037725533,"[[673, 207], [160, 731]]",673,207,160,731,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,1,02_engineered_flattened_windows,engineered_time_windows,temporal_feature_engineering,classical_ml,Logistic_Regression,Logistic_Regression,1080,,0.6674195369847544,0.6675526337326168,0.6674195369847544,0.6672813984260301,0.6637744034707158,0.6868686868686869,0.6751241036955322,"[[570, 310], [279, 612]]",570,310,279,612,D1 ANATEL/UFJF proxy
