feature_model,source_csv,classifier,cv_scoring,cv_best_score,best_params,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,confusion_matrix,train_samples,test_samples,total_samples,positive_ratio,use_smote,full_grid,random_state
LSTM,anatel_concatbases.csv,SVM_RBF,f1,0.4804093567251462,"{""clf__C"": 10, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}",0.6761904761904762,0.6510318949343339,0.3246753246753247,0.6097560975609756,0.423728813559322,0.705007937653341,"[[117, 52], [16, 25]]",630,210,840,0.1964285714285714,False,False,42
LSTM,anatel_concatbases.csv,KNN,f1,0.3702870189171559,"{""clf__n_neighbors"": 3, ""clf__p"": 1, ""clf__weights"": ""distance""}",0.7523809523809524,0.5690575840669649,0.3333333333333333,0.2682926829268293,0.2972972972972973,0.701688555347092,"[[147, 22], [30, 11]]",630,210,840,0.1964285714285714,False,False,42
LSTM,anatel_concatbases.csv,RandomForest,f1,0.2741332043218835,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": 10, ""clf__n_estimators"": 100}",0.7761904761904762,0.5653773993361235,0.375,0.2195121951219512,0.2769230769230769,0.687545100303074,"[[154, 15], [32, 9]]",630,210,840,0.1964285714285714,False,False,42
LSTM,anatel_concatbases.csv,LogisticRegression,f1,0.3382387567694844,"{""clf__C"": 1, ""clf__class_weight"": ""balanced""}",0.4619047619047619,0.444003463703276,0.160377358490566,0.4146341463414634,0.2312925170068027,0.4462404387357483,"[[80, 89], [24, 17]]",630,210,840,0.1964285714285714,False,False,42
GRU,anatel_concatbases_gru.csv,SVM_RBF,f1,0.4784250376923968,"{""clf__C"": 10, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}",0.6714285714285714,0.6296002309135518,0.3108108108108108,0.5609756097560976,0.4,0.7003896666185596,"[[118, 51], [18, 23]]",630,210,840,0.1964285714285714,False,False,42
GRU,anatel_concatbases_gru.csv,KNN,f1,0.3512596949216668,"{""clf__n_neighbors"": 3, ""clf__p"": 1, ""clf__weights"": ""distance""}",0.7619047619047619,0.593447827969404,0.3714285714285714,0.3170731707317073,0.3421052631578947,0.704214172319238,"[[147, 22], [28, 13]]",630,210,840,0.1964285714285714,False,False,42
GRU,anatel_concatbases_gru.csv,RandomForest,f1,0.2763930430929434,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": 10, ""clf__n_estimators"": 100}",0.7619047619047619,0.5472651176215905,0.32,0.1951219512195122,0.2424242424242424,0.6924520132775293,"[[152, 17], [33, 8]]",630,210,840,0.1964285714285714,False,False,42
GRU,anatel_concatbases_gru.csv,LogisticRegression,f1,0.323182074957145,"{""clf__C"": 1, ""clf__class_weight"": ""balanced""}",0.4666666666666667,0.4377255015153701,0.1553398058252427,0.3902439024390244,0.2222222222222222,0.4344061192091211,"[[82, 87], [25, 16]]",630,210,840,0.1964285714285714,False,False,42
TCN,anatel_concatbases_tcn.csv,SVM_RBF,f1,0.4785085261257009,"{""clf__C"": 10, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}",0.680952380952381,0.6539904748159908,0.3289473684210526,0.6097560975609756,0.4273504273504273,0.6937509020060615,"[[118, 51], [16, 25]]",630,210,840,0.1964285714285714,False,False,42
TCN,anatel_concatbases_tcn.csv,KNN,f1,0.3581386514719848,"{""clf__n_neighbors"": 3, ""clf__p"": 1, ""clf__weights"": ""distance""}",0.7619047619047619,0.593447827969404,0.3714285714285714,0.3170731707317073,0.3421052631578947,0.7106364554769808,"[[147, 22], [28, 13]]",630,210,840,0.1964285714285714,False,False,42
TCN,anatel_concatbases_tcn.csv,RandomForest,f1,0.3082706766917293,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": 10, ""clf__n_estimators"": 100}",0.7857142857142857,0.5897676432385626,0.4230769230769231,0.2682926829268293,0.3283582089552239,0.704358493289075,"[[154, 15], [30, 11]]",630,210,840,0.1964285714285714,False,False,42
TCN,anatel_concatbases_tcn.csv,LogisticRegression,f1,0.3224959732178016,"{""clf__C"": 1, ""clf__class_weight"": ""balanced""}",0.5095238095238095,0.445879636311156,0.1555555555555555,0.3414634146341463,0.2137404580152671,0.4510030307403666,"[[93, 76], [27, 14]]",630,210,840,0.1964285714285714,False,False,42
