dataset_short,stage_short,model_name,classifier,n_features_mean,accuracy_mean,precision_handover_mean,recall_handover_mean,f1_handover_mean,f1_handover_std
D1 ANATEL/UFJF proxy,Raw windows,Random_Forest,Random_Forest,90.0,0.9153020892151328,0.8977632058682558,0.9387205387205388,0.9177185581092416,0.0019821352313504
D1 ANATEL/UFJF proxy,Temporal engineering,Random_Forest,Random_Forest,1080.0,0.9097684923771882,0.8977263351556601,0.926374859708193,0.911730521665064,0.0034839523988383
D1 ANATEL/UFJF proxy,ANOVA FS,Random_Forest,Random_Forest,40.0,0.9197063805759458,0.9133558935293828,0.9286195286195286,0.9208648767238806,0.0093360226017122
D1 ANATEL/UFJF proxy,PCA,KNN,KNN,117.2,0.8081309994353474,0.7948962863566928,0.8338945005611672,0.8138808407710044,0.0063943257495445
D1 ANATEL/UFJF proxy,ANOVA + PCA,Random_Forest,Random_Forest,4.2,0.847656691134952,0.8466122145438311,0.8520763187429854,0.849222738582144,0.0104891892170909
D1 ANATEL/UFJF proxy,Direct deep,GRU,direct_sigmoid,108.0,0.8858272162619988,0.8892440425062349,0.8830527497194163,0.8860517400358168,0.0257453673368886
D1 ANATEL/UFJF proxy,Individual deep features,KNN,KNN,32.0,0.9007340485601356,0.903803491232358,0.8983164983164983,0.90104949000873,0.0141173736478783
D1 ANATEL/UFJF proxy,Combined deep features,KNN,KNN,128.0,0.919932241671372,0.9106632902489796,0.9324354657687992,0.9213878499228184,0.006527796278977
D2 Urban proxy,Raw windows,SVM,SVM,490.0,0.7225780701217664,0.3554438530668063,0.587069155930859,0.4383524988942501,0.0317548174122022
D2 Urban proxy,Temporal engineering,SVM,SVM,5880.0,0.7536109080849087,0.379232102766699,0.4870185063435903,0.4229838789889536,0.0361341787077524
D2 Urban proxy,ANOVA FS,Logistic_Regression,Logistic_Regression,40.0,0.641507228228352,0.2972223121688427,0.6791243475167372,0.4117911751302334,0.0580378056606626
D2 Urban proxy,PCA,Logistic_Regression,Logistic_Regression,420.2,0.6809225322154797,0.3228351975758597,0.6519420337810768,0.4305732638238875,0.0490840406624217
D2 Urban proxy,ANOVA + PCA,Logistic_Regression,Logistic_Regression,10.0,0.6399492217317425,0.297563011445127,0.6874517078206834,0.4137114325361525,0.0568347097270673
D2 Urban proxy,Direct deep,GRU,direct_sigmoid,588.0,0.6784522419377514,0.3202701543384921,0.6444250413810564,0.4275455873023793,0.0388481022563584
D2 Urban proxy,Individual deep features,Logistic_Regression,Logistic_Regression,32.0,0.6921176710588989,0.3310439798413237,0.6411409544711703,0.4358193817290662,0.0344504755816294
D2 Urban proxy,Combined deep features,Logistic_Regression,Logistic_Regression,128.0,0.7142292693050771,0.3403631541346349,0.5673597099893833,0.4228488955379496,0.026888704439747
D3 O-RAN event label,Raw windows,Random_Forest,Random_Forest,540.0,0.9371981236355664,0.8573347644553031,0.9808610053661272,0.9148367355327736,0.0110265775230993
D3 O-RAN event label,Temporal engineering,Random_Forest,Random_Forest,6480.0,0.941974734904141,0.8740228819489658,0.975266990081722,0.9217838953753688,0.0074519973603168
D3 O-RAN event label,ANOVA FS,Random_Forest,Random_Forest,40.0,0.9268384167170568,0.8449843755911692,0.9701321947851536,0.9031733998462268,0.0077750739596592
D3 O-RAN event label,PCA,Logistic_Regression,Logistic_Regression,160.6,0.9239365169877352,0.8370852770072567,0.9751976512768936,0.9007238830358651,0.0050386892358722
D3 O-RAN event label,ANOVA + PCA,Logistic_Regression,Logistic_Regression,2.4,0.9078785192745584,0.8190860961504589,0.9507098034398548,0.8798796703975402,0.0097284910721737
D3 O-RAN event label,Direct deep,GRU,direct_sigmoid,648.0,0.9337511565794936,0.8571946158907426,0.9726950058982574,0.911184697987113,0.0067781500621047
D3 O-RAN event label,Individual deep features,Random_Forest,Random_Forest,32.0,0.9385331654298396,0.8746174068164269,0.962588017419274,0.9163415354994582,0.0064076516546173
D3 O-RAN event label,Combined deep features,Random_Forest,Random_Forest,128.0,0.9401430541359392,0.8780568169661283,0.9644870136821122,0.9191157701221304,0.0052780232019615
